GEL-Stomach_common_SBS93+121	GEL-Stomach_common_SBS17	GEL-Stomach_common_SBS13	GEL-Stomach_common_SBS5	GEL-Stomach_common_SBS3+8	GEL-Stomach_common_SBS18+100	GEL-Stomach_common_SBS18	GEL-Stomach_common_SBS1	GEL-Stomach_rare_SBS112	GEL-Stomach_rare_SBS106	GEL-Stomach_rare_SBS95	GEL-Stomach_rare_SBS44	unassigned
GEL-2596320-11	3497.18783287075	5988.75298177181	3313.75665741505	1717.35563723652	1839.80969169605	0	0	1969.7609331633	0	0	0	0	1662.37626584652
GEL-2328927-11	2573.95993686376	17009.6477849111	0	0	2238.26953499095	0	0	2361.33933955237	0	0	0	0	4025.78340368182
GEL-2841821-11	0	34365.0067163919	0	0	0	0	0	0	0	0	0	0	8735.9932836081
GEL-2438855-11	0	21260.4393221574	0	0	0	0	1946.42055393586	5312.10609511662	0	0	0	0	4450.03402879012
GEL-2551132-11	1379.21535486643	0	0	949.590775621285	1484.61390818592	715.706366826613	0	1724.52109145599	0	0	0	0	754.352503043761
GEL-2409378-11	0	4191.83338343604	0	0	1091.73793777243	0	4002.70554637006	2299.5543363896	0	0	0	0	1729.16879603187
GEL-2791354-11	0	0	2194.34920440636	1711.32264381885	1166.85630354957	1111.41064871481	3224.83916768666	2613.43843329253	0	0	0	0	220.783598531219
GEL-2990950-11	0	0	0	0	907.051607142857	1373.09191964286	2867.32428571429	4964.25540178571	0	0	0	0	1101.27678571428
GEL-2523054-11	2476.2325048084	3659.08240864033	0	0	0	2533.74951915964	1921.56842728214	2579.26298268975	0	0	0	0	352.104157419741
GEL-2354035-11	0	0	6158.5518593129	3234.90629934121	2868.00958240322	0	2736.68862634072	1727.72265476126	0	0	0	0	1686.12097784069
GEL-2003399-11	1299.36781775972	854.255658734765	0	0	829.776987811956	1348.32515960534	2245.04381892049	2651.68949506674	0	0	0	0	1100.54106210099
GEL-2414250-11	591.72221411902	589.724839556593	0	0	0	1306.2829638273	1328.254084014	2030.83058634772	0	0	0	0	1000.18531213537
GEL-2252637-11	4581.41282233262	20923.2202507689	0	2198.59758694109	0	2172.06624083274	0	4425.72888573456	0	0	0	0	1670.97421339009
GEL-2595585-11	0	0	0	615.69187279152	218.535689045936	0	0	323.812014134276	0	0	0	0	253.960424028268
GEL-2191989-11	0	4665.43747286148	0	2727.83233825445	0	2499.55557967868	3926.16044290056	2974.59102257924	0	0	0	0	1612.42314372559
GEL-2763525-11	1169.60143995886	0	761.868860889689	0	2804.53895602983	0	2309.14888146053	1562.80791977372	0	0	0	0	1132.03394188737
GEL-2737739-11	0	4766.90337651306	3022.50031853897	0	0	2275.11297515396	4478.83223614355	7724.50031853897	0	0	0	0	1242.15077511149
GEL-2894761-11	2514.52771066424	2278.9314202877	1232.0035312047	0	1186.48492733152	3485.92472958406	889.863695498643	1869.26398542913	0	0	0	0	7.27595761418343e-12
GEL-2312370-11	0	737.498215196328	0	1225.16641169471	803.453340132585	824.439061703213	409.221570627231	1242.65451300357	0	0	0	0	636.566887642363
GEL-2056902-11	0	1054.38176704945	0	0	0	3468.40058254377	4024.36552947872	3906.26676487328	0	0	0	0	2493.58535605478
GEL-2508073-11	0	9760.47620069761	0	5298.715642608	2498.8658975047	2295.87679098471	3871.29224577408	3310.82232358465	0	0	0	0	914.950898846248
GEL-2071577-11	0	22937.5065473592	0	2704.85923177652	0	0	3120.22151898734	0	0	0	0	0	3339.41270187694
GEL-2147883-11	1287.10073425222	1075.33736957362	0	0	987.22778994375	912.134398213749	0	4895.58851818455	1762.19159259736	0	0	0	739.419597234752
GEL-2155411-11	1631.26970889064	3998.88686073957	0	0	0	1930.91109362707	1799.34901652242	1590.75059008655	0	0	0	0	1764.83273013375
