ICGC-Colorectal_common_SBS93+121	ICGC-Colorectal_common_SBS1	ICGC-Colorectal_common_SBS18	ICGC-Colorectal_common_SBS5	ICGC-Colorectal_common_SBS17	ICGC-Colorectal_rare_SBS10a	ICGC-Colorectal_rare_SBS44	ICGC-Colorectal_rare_SBS88	ICGC-Colorectal_rare_SBS94	unassigned
00aa769d-622c-433e-8a8a-63fb5c41ea42	0	0	0	0	0	223127.306440083	0	0	0	11208.693559917
a0f94565-9169-49ee-8e6a-21bdc43d9de6	973.638926821431	6851.4406779661	3317.56598923608	937.67073660535	0	0	0	0	0	357.683669371039
75ad15b9-8f9c-40c1-9ca6-1e8454fbd310	6392.06616706269	2777.65695485286	1760.63491135076	1830.23907877902	937.40288795467	0	0	0	0	0
4cfb0aee-6661-478a-8694-9d8ba15e46b7	2696.58617218953	3033.84708888201	7033.94170021679	4584.54676370393	2040.07827500774	0	0	0	0	0
8a929c55-35a6-4645-bb70-4b85d281b139	1430.21404869468	3456.80885939312	4502.59976812058	2387.52264822292	726.854675568704	0	0	0	0	0
05486349-24a4-4931-bf5f-c9fefe369af2	0	3543.26429341963	822.177346278317	1951.92103559871	0	0	0	0	0	636.637324703343
e3ef5cad-4d6e-4f04-babb-a908ee02644b	2194.40994559242	6375.00115580864	4461.90014940941	2345.57595918022	2379.1127900093	0	0	0	0	1.09139364212751e-11
d0a0d845-32e2-4590-b909-29bd27b92900	0	2624.20129201015	8590.34269974635	0	0	0	0	0	0	1414.4560082435
63bc376e-5a3d-44fd-8d77-686dfc41e458	0	11278.4580456502	0	0	0	0	13061.5304605637	0	0	283.0114937861
080ecc31-756a-4a1b-a51e-d632ac8219f7	3724.67789482364	0	11217.5883856604	3762.72567977076	4389.51287389969	0	0	0	0	1190.49516584551
492b4e58-12e2-47b2-bd47-28f8607072fa	0	3229.50165417421	12703.7411217369	1941.90620315327	0	0	0	0	0	1493.85102093562
10ad692b-4c3d-42de-9b5e-4968441388b3	697.850586300207	5051.65729293787	2585.6515625829	831.513503475354	0	0	0	0	0	268.327054703668
55345803-83d4-4fdb-b0ee-328753801da1	1370.4329507939	6569.97264581041	5911.02405282188	3801.58801027092	1442.98234030289	0	0	0	0	0
d3d65db3-36f9-41c7-8e5e-1683ce94dfcb	1274.88867545621	5010.06251637126	2183.30935126168	2250.80345760936	732.935999301493	0	0	0	0	0
0980e7fd-051d-45e9-9ca6-2baf073da4e8	0	0	0	0	0	829855.776474331	0	0	0	20442.223525669
